,model,feature,info,type,fold,tn,fp,fn,tp,precision_ind_0,precision_ind_1,precision_micro,recall_ind_0,recall_ind_1,recall_micro,fscore_ind_0,fscore_ind_1,fscore_mirco,loss
0,rule based,,,dec,,45,3,1,11,0.9782608695652174,0.7857142857142857,0.9333333333333333,0.9375,0.9166666666666666,0.9333333333333333,0.9574468085106383,0.8461538461538461,0.9333333333333333,
1,XGBoost,tfidf,lemma,dec,,47,1,3,9,0.94,0.9,0.9333333333333333,0.9791666666666666,0.75,0.9333333333333333,0.9591836734693877,0.8181818181818182,0.9333333333333333,
